,labels,param_set1,param_set2,param_set3
0,attack_benefit_land_passive,-1.0273320607327099,-1.1449126523352338,-1.0693428167660064
1,offer_victim_passive,-0.9461752829916877,-0.8079979788224473,-1.0567027159322453
2,attack_obj_vitality,-0.9248564642013306,-0.7479612749347938,-0.9040451224768069
3,offer_land_obj_vitality,-0.8328519686067394,-0.7172012836686836,-0.7972335237558239
4,attack_benefit_overlap,-0.7925054500844699,-0.7009236128095462,-0.768290399396398
5,offer_land_obj_cargo,-0.655520201383891,-0.6698464295978355,-0.7606874236927832
6,attack_obj_neighbor,-0.6264794748203321,-0.6473704520658388,-0.7382663302584394
7,offer_land_obj_productivity,-0.6147695833669234,-0.6401201393223,-0.6994533259962714
8,offer_land_obj_age,-0.5736496002038944,-0.6342697546327261,-0.6604985208718206
9,reproduce_victim_active,-0.5681195469160938,-0.6337546606375719,-0.6550975978067146
10,clear_obj_neighbor,-0.5343965531894741,-0.6315453718375159,-0.4931971886354851
11,offer_obj_neighbor,-0.5234289069024235,-0.6179072283467845,-0.4515457125021226
12,reproduce_victim_passive,-0.519312438558467,-0.5915377285517991,-0.4167675944488771
13,attack_benefit_passive,-0.5090297507059877,-0.5911598326579284,-0.3773885618408883
14,reproduce_obj_age,-0.45053545081977997,-0.5588270111226173,-0.34718803834853096
15,clear_obj_cargo,-0.431992191827662,-0.5434640204797174,-0.34376653033821997
16,offer_obj_cargo,-0.4051596345464835,-0.528120638337798,-0.3343671993770906
17,attack_benefit_land_overlap,-0.3767391215855188,-0.4881046045401374,-0.3325726888398966
18,offer_land_benefit_active,-0.34415775335686805,-0.4460329674961726,-0.332530514856651
19,clear_benefit_land_passive,-0.3413953732069356,-0.43597580826731286,-0.32434388842809053
20,attack_benefit_active,-0.34136215666384534,-0.40883280383680903,-0.3190702080150691
21,offer_self_neighbor,-0.3297844574898663,-0.3777260939869058,-0.27503380795965077
22,clear_self_cargo,-0.32644087434740354,-0.36610137854303115,-0.2747250600885939
23,offer_land_obj_neighbor,-0.2861936264360109,-0.3475166066806055,-0.27177407927144426
